Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Initial,2024-01-02 09:30:00-05:00,471.5,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-02 10:30:00-05:00,472.2999877929688,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-02 11:30:00-05:00,470.6099853515625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-02 12:30:00-05:00,469.1000061035156,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-02 13:30:00-05:00,465.0400085449219,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-02 14:30:00-05:00,464.2550048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-02 15:30:00-05:00,468.3999938964844,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 09:30:00-05:00,472.3800048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 10:30:00-05:00,471.3200073242188,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 11:30:00-05:00,471.260009765625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 12:30:00-05:00,472.2300109863281,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 13:30:00-05:00,472.2049865722656,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 14:30:00-05:00,469.510009765625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-03 15:30:00-05:00,470.30999755859375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 09:30:00-05:00,472.1099853515625,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 10:30:00-05:00,478.4750061035156,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 11:30:00-05:00,477.1300048828125,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 12:30:00-05:00,477.981201171875,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 13:30:00-05:00,474.9100036621094,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 14:30:00-05:00,475.989990234375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-04 15:30:00-05:00,474.6700134277344,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
No Signal,2024-01-05 09:30:00-05:00,475.1400146484375,0,0.0,0.0,100000.0,,100000.0,12,17,,0.4988664944493179,3.49226357048994
