Date,Total Cash,Close Price
2023-01-04 13:15:00+05:30,100265.6897,1506.949951
2023-01-05 10:15:00+05:30,99833.39053,1493.849976
2023-01-05 15:15:00+05:30,99231.14053,1475.599976
2023-01-06 11:15:00+05:30,98610.74295,1456.800049
2023-01-09 11:15:00+05:30,99650.24295,1488.300049
2023-01-09 13:15:00+05:30,99551.24295,1485.300049
2023-01-10 09:15:00+05:30,99182.69678,1463
2023-01-10 11:15:00+05:30,99256.39514,1464.099976
2023-01-11 09:15:00+05:30,100807.4468,1487.25
2023-01-11 15:15:00+05:30,99735.44678,1471.25
2023-01-12 10:15:00+05:30,99851.04346,1463.5
2023-01-12 13:15:00+05:30,99127.89673,1474.550049
2023-01-12 15:15:00+05:30,98234.14185,1483.349976
2023-01-16 10:15:00+05:30,101483.6951,1522.849976
2023-01-16 12:15:00+05:30,101556.2935,1523.949951
2023-01-16 14:15:00+05:30,101698.1951,1526.099976
2023-01-17 09:15:00+05:30,102397.7935,1536.699951
2023-01-17 11:15:00+05:30,102414.2935,1536.949951
2023-01-17 14:15:00+05:30,102605.6951,1539.849976
2023-01-18 11:15:00+05:30,103146.8999,1548.050049
2023-01-18 13:15:00+05:30,103235.9983,1549.400024
2023-01-19 09:15:00+05:30,103472.2,1529.800049
2023-01-19 12:15:00+05:30,102995.0967,1545.75
2023-01-20 10:15:00+05:30,102358.1951,1536.099976
2023-01-20 12:15:00+05:30,102189.8999,1533.550049
2023-01-23 13:15:00+05:30,102623.6652,1551.5
2023-01-24 10:15:00+05:30,103275.5967,1562.5
2023-01-25 13:15:00+05:30,99289.7998,1549.050049
2023-01-27 14:15:00+05:30,97297.76947,1521.550049
2023-01-30 11:15:00+05:30,97776.16791,1536.5
2023-01-30 13:15:00+05:30,97886.56634,1539.949951
2023-01-31 12:15:00+05:30,97331.39355,1522.449951
2023-02-01 12:15:00+05:30,100074.3635,1551.25
2023-02-01 14:15:00+05:30,100149.8435,1552.900024
2023-02-02 10:15:00+05:30,100329.4435,1580.400024
2023-02-02 14:15:00+05:30,100716.895,1586.550049
2023-02-03 09:15:00+05:30,100902.7419,1589.5
2023-02-03 12:15:00+05:30,101453.9919,1598.25
2023-02-06 09:15:00+05:30,101621.8435,1575.900024
2023-02-06 13:15:00+05:30,101333.8435,1571.400024
2023-02-07 10:15:00+05:30,101378.6404,1572.099976
2023-02-07 13:15:00+05:30,101049.0388,1566.949951
2023-02-08 11:15:00+05:30,103001.0388,1599.75
2023-02-09 12:15:00+05:30,103013.8357,1599.949951
2023-02-09 14:15:00+05:30,102588.8373,1618.599976
2023-02-10 10:15:00+05:30,102330.5388,1614.5
2023-02-10 14:15:00+05:30,102050.1919,1610.050049
2023-02-13 10:15:00+05:30,101509.8357,1576.449951
2023-02-14 10:15:00+05:30,102298.6053,1594.5
2023-02-14 12:15:00+05:30,102290.6053,1594.25
2023-02-14 14:15:00+05:30,102247.406,1592.900024
2023-02-15 10:15:00+05:30,102165.8357,1588.900024
2023-02-15 15:15:00+05:30,102687.4373,1597.050049
2023-02-16 10:15:00+05:30,101849.5326,1609.099976
2023-02-16 12:15:00+05:30,101931.4357,1610.400024
2023-02-16 15:15:00+05:30,101336.0811,1600.949951
2023-02-17 12:15:00+05:30,100671.4357,1590.400024
2023-02-20 10:15:00+05:30,100759.8703,1598.300049
2023-02-20 12:15:00+05:30,100704.0688,1596.5
2023-02-20 14:15:00+05:30,100604.8703,1593.300049
2023-02-21 11:15:00+05:30,100488.7341,1587.050049
2023-02-21 13:15:00+05:30,100495.0326,1587.150024
2023-02-21 15:15:00+05:30,100013.0811,1579.5
2023-02-22 10:15:00+05:30,99446.08105,1570.5
2023-02-22 14:15:00+05:30,99434.46359,1563.199951
2023-02-23 09:15:00+05:30,99415.86435,1562.599976
2023-02-23 12:15:00+05:30,99333.71359,1559.949951
2023-02-24 09:15:00+05:30,99253.11435,1557.349976
2023-02-24 14:15:00+05:30,99060.91586,1551.150024
2023-02-27 11:15:00+05:30,97757.36435,1509.099976
2023-02-27 14:15:00+05:30,97802.31662,1510.550049
2023-02-28 11:15:00+05:30,97789.91586,1510.150024
2023-02-28 15:15:00+05:30,97227.2651,1492
2023-03-01 11:15:00+05:30,97366.7651,1496.5
2023-03-01 15:15:00+05:30,97366.7651,1496.5
2023-03-02 11:15:00+05:30,96774.66586,1477.400024
2023-03-03 11:15:00+05:30,96880.06662,1480.800049
2023-03-03 13:15:00+05:30,96841.31662,1479.550049
2023-03-06 10:15:00+05:30,97901.5151,1513.75
2023-03-09 10:15:00+05:30,86368.37964,1489.099976
2023-03-09 14:15:00+05:30,85895.67822,1480.949951
2023-03-10 13:15:00+05:30,85321.48389,1471.050049
2023-03-10 15:15:00+05:30,85350.48389,1471.550049
2023-03-13 11:15:00+05:30,84065.78247,1449.400024
2023-03-13 15:15:00+05:30,83459.67822,1438.949951
2023-03-14 11:15:00+05:30,82618.67822,1424.449951
2023-03-15 10:15:00+05:30,82721.78627,1425.349976
2023-03-15 15:15:00+05:30,82566.63698,1420
2023-03-16 10:15:00+05:30,82347.68556,1412.449951
2023-03-16 13:15:00+05:30,82201.23768,1407.400024
2023-03-17 09:15:00+05:30,83117.63698,1439
2023-03-17 13:15:00+05:30,82997.28627,1434.849976
2023-03-17 15:15:00+05:30,83311.78247,1423.650024
2023-03-20 10:15:00+05:30,83623.28394,1404.800049
2023-03-20 15:15:00+05:30,83555.4325,1403.650024
2023-03-21 10:15:00+05:30,83059.83105,1395.25
2023-03-21 12:15:00+05:30,83045.08105,1395
2023-03-21 15:15:00+05:30,82897.58105,1392.5
2023-03-22 11:15:00+05:30,82717.62817,1389.449951
2023-03-22 15:15:00+05:30,82387.87923,1390.699951
2023-03-23 12:15:00+05:30,81992.03206,1377.050049
2023-03-24 09:15:00+05:30,82487.93135,1394.150024
2023-03-24 11:15:00+05:30,82453.12923,1392.949951
2023-03-27 09:15:00+05:30,82353.08064,1389.5
2023-03-27 13:15:00+05:30,80827.08105,1392
2023-03-27 15:15:00+05:30,80650.17822,1388.949951
2023-03-28 12:15:00+05:30,80363.08105,1384
2023-03-28 13:15:00+05:30,80363.08105,1378.199951
2023-03-28 15:15:00+05:30,80386.28247,1378.599976
2023-03-31 09:15:00+05:30,80995.00334,1404.400024
2023-04-03 12:15:00+05:30,87273.78516,1408.949951
2023-04-05 12:15:00+05:30,89560.03662,1423.099976
2023-04-06 10:15:00+05:30,89829.73511,1427.449951
2023-04-06 12:15:00+05:30,90724.6427,1421.900024
2023-04-10 09:15:00+05:30,91367.23962,1432.099976
2023-04-10 11:15:00+05:30,91423.94116,1433
2023-04-10 14:15:00+05:30,92533.73804,1427.949951
2023-04-11 14:15:00+05:30,95467.54443,1407.800049
2023-04-12 14:15:00+05:30,95859.19407,1429.25
2023-04-13 14:15:00+05:30,94979.19287,1391.900024
2023-04-17 15:15:00+05:30,85888.91291,1259.5
2023-04-18 13:15:00+05:30,85956.91291,1261.5
2023-04-19 11:15:00+05:30,85259.91291,1241
2023-04-20 10:15:00+05:30,83803.39453,1228.5
2023-04-20 13:15:00+05:30,83731.99121,1227.449951
2023-04-21 09:15:00+05:30,83725.19287,1227.349976
2023-04-21 14:15:00+05:30,83796.59619,1228.400024
2023-04-24 10:15:00+05:30,83539.03428,1225.050049
2023-04-24 12:15:00+05:30,83498.23179,1223.849976
2023-04-24 15:15:00+05:30,83668.23179,1228.849976
2023-04-25 10:15:00+05:30,83756.63096,1231.449951
2023-04-26 10:15:00+05:30,83296.80273,1228.050049
2023-04-26 13:15:00+05:30,83270.0011,1227.650024
2023-04-27 09:15:00+05:30,83427.44946,1230
2023-04-27 11:15:00+05:30,83499.91983,1238
2023-04-27 14:15:00+05:30,84040.5011,1247.5
2023-04-28 11:15:00+05:30,84352.05273,1252.150024
2023-04-28 14:15:00+05:30,84409.0011,1253
2023-05-02 12:15:00+05:30,84763.09949,1277.349976
2023-05-02 15:15:00+05:30,84819.19788,1278.199951
2023-05-03 14:15:00+05:30,84284.59949,1270.099976
2023-05-04 12:15:00+05:30,84542.0011,1274
2023-05-04 14:15:00+05:30,84538.69788,1273.949951
2023-05-05 12:15:00+05:30,84383.59949,1263.5
2023-05-08 11:15:00+05:30,84627.79626,1267.199951
2023-05-08 13:15:00+05:30,84756.5011,1269.150024
2023-05-09 11:15:00+05:30,84888.5011,1271.150024
2023-05-10 10:15:00+05:30,85685.0946,1265.199951
2023-05-10 12:15:00+05:30,85651.5946,1264.699951
2023-05-11 09:15:00+05:30,85835.8446,1267.449951
2023-05-11 15:15:00+05:30,85149.0946,1257.199951
2023-05-12 10:15:00+05:30,84676.74951,1250.150024
2023-05-12 13:15:00+05:30,84629.8446,1249.449951
2023-05-15 09:15:00+05:30,85109.03051,1261.099976
2023-05-15 13:15:00+05:30,85303.73132,1267
2023-05-16 09:15:00+05:30,85889.44788,1269.599976
2023-05-16 12:15:00+05:30,85906.19788,1269.849976
2023-05-17 09:15:00+05:30,86203.65283,1255.550049
2023-05-17 11:15:00+05:30,86648.45288,1243.800049
2023-05-18 11:15:00+05:30,87600.64783,1257.599976
2023-05-19 09:15:00+05:30,87245.71932,1268.599976
2023-05-19 11:15:00+05:30,88621.8512,1270.400024
2023-05-19 13:15:00+05:30,88597.70288,1270.050049
2023-05-19 15:15:00+05:30,88542.49951,1269.25
2023-05-22 11:15:00+05:30,88748.84619,1290.949951
2023-05-22 14:15:00+05:30,88895.04785,1293.099976
2023-05-23 09:15:00+05:30,88791.19788,1310.849976
2023-05-23 11:15:00+05:30,88767.74951,1310.5
2023-05-23 15:15:00+05:30,89364.24951,1300
2023-05-24 11:15:00+05:30,89524.04785,1302.349976
2023-05-25 09:15:00+05:30,90250.24951,1294
2023-05-25 12:15:00+05:30,90508.99951,1297.75
2023-05-26 11:15:00+05:30,91761.3512,1320.300049
2023-05-26 13:15:00+05:30,91654.39783,1318.75
2023-05-29 09:15:00+05:30,91561.24951,1317.400024
2023-05-29 13:15:00+05:30,91357.69446,1314.449951
2023-05-30 09:15:00+05:30,91695.79614,1319.349976
2023-05-30 11:15:00+05:30,91720.24953,1317.849976
2023-05-31 09:15:00+05:30,92114.6487,1329.449951
2023-05-31 12:15:00+05:30,91882.1012,1328.800049
2023-05-31 15:15:00+05:30,91071.3512,1317.050049
2023-06-01 15:15:00+05:30,89988.89783,1320.5
2023-06-02 10:15:00+05:30,88900.89783,1304.5
2023-06-05 11:15:00+05:30,89203.49451,1308.949951
2023-06-06 12:15:00+05:30,87078.49451,1277.699951
2023-06-07 09:15:00+05:30,87380.59119,1287.849976
2023-06-07 13:15:00+05:30,87525.09119,1292.099976
2023-06-08 09:15:00+05:30,87421.39368,1289.050049
2023-06-08 11:15:00+05:30,87938.70447,1288.5
2023-06-09 09:15:00+05:30,87902.40784,1269.300049
2023-06-09 12:15:00+05:30,87802.35278,1267.849976
2023-06-12 11:15:00+05:30,89150.51483,1292.050049
2023-06-12 13:15:00+05:30,89242.31317,1294.75
2023-06-12 15:15:00+05:30,89485.95447,1292.949951
2023-06-13 12:15:00+05:30,89080.40784,1306
2023-06-13 14:15:00+05:30,89012.40784,1305
2023-06-14 10:15:00+05:30,88471.81116,1297.050049
2023-06-14 15:15:00+05:30,88808.40784,1302
2023-06-15 12:15:00+05:30,88019.6095,1290.400024
2023-06-16 09:15:00+05:30,87774.81116,1286.800049
2023-06-16 13:15:00+05:30,87855.06654,1291.349976
2023-06-19 09:15:00+05:30,87877.16737,1292
2023-06-21 14:15:00+05:30,98668.4115,1298.550049
2023-06-22 10:15:00+05:30,99956.5116,1281.550049
2023-06-22 12:15:00+05:30,100195.2097,1284.650024
2023-06-22 15:15:00+05:30,100106.6578,1283.5
2023-06-23 12:15:00+05:30,99452.15784,1275
2023-06-26 12:15:00+05:30,99117.20972,1270.650024
2023-06-26 14:15:00+05:30,99151.85596,1271.099976
2023-06-27 09:15:00+05:30,99343.22315,1277.949951
2023-06-27 11:15:00+05:30,99392.62501,1279.25
2023-06-27 12:15:00+05:30,99779.40784,1277.550049
2023-06-30 10:15:00+05:30,98369.20764,1327.550049
2023-07-03 12:15:00+05:30,94766.40576,1332.900024
2023-07-03 14:15:00+05:30,94844.50403,1334
2023-07-04 09:15:00+05:30,94865.8075,1334.300049
2023-07-04 11:15:00+05:30,94826.75403,1333.75
2023-07-04 13:15:00+05:30,93804.50061,1338.199951
2023-07-05 09:15:00+05:30,92914.80066,1344.699951
2023-07-05 11:15:00+05:30,91777.50403,1347.75
