Year,Start Date,End Date,Start Total Cash,End Total Cash,Difference,Percentage Difference,Result
2023,2023-01-02 03:45:00+00:00,2023-12-29 09:45:00+00:00,100000,100696.1603,696.1603,0.6961603,Profitable
2024,2024-01-01 03:45:00+00:00,2024-07-31 09:45:00+00:00,100713.8973,117196.1343,16482.237,16.36540482,Profitable
