Signal,Start Date,Start Close Price,End Date,End Close Price,Start Total Cash,End Total Cash,Total Cash Difference,% Difference,Remark
Buy - Sell,2023-01-04 12:15:00+05:30,1497.6500244140625,2023-01-09 15:15:00+05:30,1484.4000244140625,100000.0,99869.6475830078,-130.35241699220205,-0.13035241699220207,Negative
Sell - Buy,2023-01-09 15:15:00+05:30,1484.4000244140625,2023-01-11 10:15:00+05:30,1487.0,99869.6475830078,100790.69677734376,921.0491943359666,0.9222513712891858,Positive
Buy - Sell,2023-01-11 10:15:00+05:30,1487.0,2023-01-12 09:15:00+05:30,1461.800048828125,100790.69677734376,99102.30004882812,-1688.3967285156396,-1.6751513606910253,Negative
Sell - Buy,2023-01-12 09:15:00+05:30,1461.800048828125,2023-01-12 15:15:00+05:30,1483.3499755859375,99102.30004882812,98234.14184570312,-868.158203125,-0.8760222544756829,Negative
Buy - Sell,2023-01-12 15:15:00+05:30,1483.3499755859375,2023-01-13 12:15:00+05:30,1513.75,98234.14184570312,99407.29345703124,1173.1516113281104,1.1942401992687897,Positive
Sell - Buy,2023-01-13 12:15:00+05:30,1513.75,2023-01-20 09:15:00+05:30,1535.0,99407.29345703124,102285.5966796875,2878.3032226562646,2.8954648321658714,Positive
Buy - Sell,2023-01-20 09:15:00+05:30,1535.0,2023-01-24 09:15:00+05:30,1561.5,102285.5966796875,103308.5966796875,1023.0,1.0001408147459667,Positive
Sell - Buy,2023-01-24 09:15:00+05:30,1561.5,2023-01-25 15:15:00+05:30,1541.800048828125,103308.5966796875,98825.7998046875,-4482.796875,-4.339229279146143,Negative
Buy - Sell,2023-01-25 15:15:00+05:30,1541.800048828125,2023-01-31 12:15:00+05:30,1522.449951171875,98825.7998046875,97667.3935546875,-1158.40625,-1.1721698709136625,Negative
Sell - Buy,2023-01-31 12:15:00+05:30,1522.449951171875,2023-02-01 11:15:00+05:30,1540.6500244140625,97667.3935546875,100018.64819335938,2351.254638671875,2.4074100404402854,Positive
