Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Charge Value,Charge,% Diff,High Avg %,Low Avg %
Buy Hold,2023-02-23 11:15:00+05:30,39.63999939,1152,-11.52246094,45665.2793,7.45192337,Buy Hold,92639.77175,12,17,99.94954786,,,-0.025226066,0.370337122,2.667433764
Buy Hold,2023-02-23 13:15:00+05:30,39.75999832,1152,138.2387695,45803.51807,7.45192337,Buy Hold,92778.01052,12,17,100.6054437,,,0.302721832,0.370337122,2.667433764
Buy Hold,2023-02-23 14:15:00+05:30,39.68999863,1152,-80.63964844,45722.87842,7.45192337,Buy Hold,92697.37087,12,17,99.64788884,,,-0.176055581,0.370337122,2.667433764
Buy Hold,2023-02-24 09:15:00+05:30,39.43999863,1152,-288,45434.87842,7.45192337,Buy Hold,92409.37087,12,17,98.74023679,,,-0.629881604,0.370337122,2.667433764
Buy Hold,2023-02-24 10:15:00+05:30,39.61999893,576,22613.75904,22821.11938,22691.64459,Buy Hold,45512.76397,12,17,100.9127805,0.6,136.9267163,0.456390239,0.370337122,2.667433764
Buy Hold,2023-02-24 11:15:00+05:30,39.34999847,576,-155.520265,22665.59912,7.45192337,Buy Hold,45357.24371,12,17,98.63704965,,,98.63704965,0.370337122,2.667433764
Buy Hold,2023-02-24 12:15:00+05:30,39.61000061,576,149.7612326,22815.36035,7.45192337,Buy Hold,45507.00494,12,17,101.3214849,,,101.3214849,0.370337122,2.667433764
Buy Hold,2023-02-24 13:15:00+05:30,39.50999832,576,-57.60131904,22757.75903,7.45192337,Buy Hold,45449.40362,12,17,99.49506545,,,99.49506547,0.370337122,2.667433764
Buy Hold,2023-02-24 14:15:00+05:30,39.61000061,576,57.60131904,22815.36035,7.45192337,Buy Hold,45507.00494,12,17,100.5062126,,,100.5062126,0.370337122,2.667433764
Buy Hold,2023-02-24 15:15:00+05:30,39.58000183,576,-17.27929728,22798.08105,7.45192337,Buy Hold,45489.72564,12,17,99.84852927,,,99.84852927,0.370337122,2.667433764
Buy Hold,2023-02-27 09:15:00+05:30,39.31000137,576,-155.520265,22642.56079,7.45192337,Buy Hold,45334.20538,12,17,98.63567233,,,98.63567233,0.370337122,2.667433764
Buy Hold,2023-02-27 10:15:00+05:30,39.50999832,576,115.1982432,22757.75903,7.45192337,Buy Hold,45449.40362,12,17,101.0175372,,,101.0175373,0.370337122,2.667433764
Buy Hold,2023-02-27 11:15:00+05:30,39.34000015,576,-97.91894592,22659.84009,7.45192337,Buy Hold,45351.48468,12,17,99.1394676,,,99.13946762,0.370337122,2.667433764
Buy Hold,2023-02-27 12:15:00+05:30,39.47000122,576,74.88061632,22734.7207,7.45192337,Buy Hold,45426.36529,12,17,100.6609104,,,100.6609104,0.370337122,2.667433764
Buy Hold,2023-02-27 13:15:00+05:30,39.20000076,576,-155.520265,22579.20044,7.45192337,Buy Hold,45270.84503,12,17,98.63187003,,,98.63187004,0.370337122,2.667433764
Buy Hold,2023-02-27 14:15:00+05:30,39,576,-115.2004378,22464,7.45192337,Buy Hold,45155.64459,12,17,98.97958796,,,98.97958798,0.370337122,2.667433764
Buy Hold,2023-02-27 15:15:00+05:30,39.15999985,576,92.1599136,22556.15991,7.45192337,Buy Hold,45247.8045,12,17,100.820512,,,100.820512,0.370337122,2.667433764
Buy Hold,2023-02-28 09:15:00+05:30,39.20999908,576,28.79955648,22584.95947,7.45192337,Buy Hold,45276.60406,12,17,100.2553587,,,100.2553587,0.370337122,2.667433764
Buy Hold,2023-02-28 11:15:00+05:30,39.20999908,576,0,22584.95947,7.45192337,Buy Hold,45276.60406,12,17,100,,,100,0.370337122,2.667433764
Buy Hold,2023-02-28 13:15:00+05:30,39.25,576,23.04052992,22608,7.45192337,Buy Hold,45299.64459,12,17,100.2040343,,,100.2040343,0.370337122,2.667433764
Buy Hold,2023-02-28 14:15:00+05:30,39.47000122,576,126.7207027,22734.7207,7.45192337,Buy Hold,45426.36529,12,17,101.1210253,,,101.1210253,0.370337122,2.667433764
Buy Hold,2023-03-01 09:15:00+05:30,39.63999939,576,97.91894592,22832.63965,7.45192337,Buy Hold,45524.28424,12,17,100.8614044,,,100.8614044,0.370337122,2.667433764
Buy Hold,2023-03-01 10:15:00+05:30,39.52000046,576,-69.11938368,22763.52026,7.45192337,Buy Hold,45455.16486,12,17,99.39455634,,,99.39455635,0.370337122,2.667433764
Buy Hold,2023-03-01 13:15:00+05:30,39.63000107,576,63.36035136,22826.88062,7.45192337,Buy Hold,45518.52521,12,17,100.5566832,,,100.5566832,0.370337122,2.667433764
Buy Hold,2023-03-01 14:15:00+05:30,39.81000137,576,103.6801728,22930.56079,7.45192337,Buy Hold,45622.20538,12,17,100.9084042,,,100.9084042,0.370337122,2.667433764
Buy Hold,2023-03-02 09:15:00+05:30,39.93999863,576,74.87842176,23005.43921,7.45192337,Buy Hold,45697.0838,12,17,100.6530884,,,100.6530884,0.370337122,2.667433764
Buy Hold,2023-03-02 10:15:00+05:30,39.70999908,576,-132.4797408,22872.95947,7.45192337,Buy Hold,45564.60406,12,17,98.84827466,,,98.84827467,0.370337122,2.667433764
Sell,2023-03-02 10:15:00+05:30,39.70999908,0,0,0,45404.49334,Sell Hold,45564.60406,12,17,,0.7,160.1107163,,0.370337122,2.667433764
Short Sell,2023-03-02 10:15:00+05:30,39.70999908,2318,0,92047.77788,11.09877396,Sell Hold,92058.87665,12,17,0,,,0,0.370337122,2.667433764
Short Sell,2023-03-02 11:15:00+05:30,39.84000015,2310,-17.37752533,92030.40035,28.47629929,Sell Hold,92041.49913,12,17,-0.01887881,,,-0.018878815,0.370337122,2.667433764
Short Sell,2023-03-02 12:15:00+05:30,39.65000153,2321,-2.746810913,92027.65354,13.84558487,Sell Hold,92038.75232,12,17,-0.002984678,,,-0.002984677,0.370337122,2.667433764
Short Sell,2023-03-02 13:15:00+05:30,39.79999924,2312,-10.05530548,92017.59824,21.15407944,Sell Hold,92028.69701,12,17,-0.010926396,,,-0.01092639,0.370337122,2.667433764
Short Sell,2023-03-02 14:15:00+05:30,39.65000153,2321,10.05530548,92027.65354,1.043468475,Sell Hold,92038.75232,12,17,0.01092759,,,0.010927584,0.370337122,2.667433764
Short Sell,2023-03-02 15:15:00+05:30,39.79999924,2312,-10.05530548,92017.59824,21.15407944,Sell Hold,92028.69701,12,17,-0.010926396,,,-0.01092639,0.370337122,2.667433764
