Signal,Date,Close Price,Profit/Loss,Investment,Shares Bought,Percentage Change,Hold Status,SMA1,SMA2
Buy,2023-05-02,3219.39990234375,0.0,100000.0,31.06168945560294,0.0,,10,50
Hold,2023-05-03,3179.89990234375,,98773.06326650368,31.06168945560294,-1.2269367334963164,Loss Hold,10,50
Hold,2023-05-04,3220.699951171875,,100040.38171297633,31.06168945560294,1.2830607906259333,Profit Hold,10,50
Hold,2023-05-05,3230.699951171875,,100350.99860753237,31.06168945560294,0.31049151276452897,Profit Hold,10,50
Hold,2023-05-08,3250.60009765625,,100969.13077775104,31.06168945560294,0.6159701236617966,Profit Hold,10,50
Hold,2023-05-09,3283.25,,101983.29190510836,31.06168945560294,1.0044269169650015,Profit Hold,10,50
Hold,2023-05-10,3286.800048828125,,102093.5624193598,31.06168945560294,0.10812605887839793,Profit Hold,10,50
Hold,2023-05-11,3282.14990234375,,101949.12101333909,31.06168945560294,-0.1414794455182317,Profit Hold,10,50
Hold,2023-05-12,3274.300048828125,,101705.29130116476,31.06168945560294,-0.239168037694424,Profit Hold,10,50
Hold,2023-05-15,3255.050048828125,,101107.35377914441,31.06168945560294,-0.5879119113378015,Profit Hold,10,50
Hold,2023-05-16,3258.14990234375,,101203.64046640461,31.06168945560294,0.09523213066235346,Profit Hold,10,50
Hold,2023-05-17,3208.699951171875,,99667.6414395091,31.06168945560294,-1.5177310023796995,Loss Hold,10,50
Hold,2023-05-18,3199.85009765625,,99392.75003787919,31.06168945560294,-0.2758080733722975,Loss Hold,10,50
Hold,2023-05-19,3222.85009765625,,100107.16889535805,31.06168945560294,0.7187836710490436,Profit Hold,10,50
Hold,2023-05-22,3298.699951171875,,102463.19349051337,31.06168945560294,2.3535023726603113,Profit Hold,10,50
Hold,2023-05-23,3297.050048828125,,102411.94473627974,31.06168945560294,-0.05001674502598717,Profit Hold,10,50
Hold,2023-05-24,3303.35009765625,,102607.63489653409,31.06168945560294,0.1910813828975461,Profit Hold,10,50
Hold,2023-05-25,3293.5,,102301.67422202829,31.06168945560294,-0.2981850958891313,Profit Hold,10,50
Hold,2023-05-26,3328.89990234375,,103401.25499538852,31.06168945560294,1.0748414253453773,Profit Hold,10,50
Hold,2023-05-29,3320.35009765625,,103135.68361727934,31.06168945560294,-0.2568357396832633,Profit Hold,10,50
Hold,2023-05-30,3316.199951171875,,103006.77305598641,31.06168945560294,-0.12499123171693498,Profit Hold,10,50
Hold,2023-05-31,3289.5,,102177.42746420587,31.06168945560294,-0.8051369508777599,Profit Hold,10,50
Hold,2023-06-01,3324.0,,103249.05575042417,31.06168945560294,1.0487916096671226,Profit Hold,10,50
Hold,2023-06-02,3305.60009765625,,102677.5236978092,31.06168945560294,-0.55354700191787,Profit Hold,10,50
Hold,2023-06-05,3288.89990234375,,102158.7874171644,31.06168945560294,-0.5052091849930922,Profit Hold,10,50
Hold,2023-06-06,3232.300048828125,,100400.70034402945,31.06168945560294,-1.7209357291564444,Profit Hold,10,50
Hold,2023-06-07,3274.89990234375,,101723.92376478596,31.06168945560294,1.3179424209416957,Profit Hold,10,50
Hold,2023-06-08,3236.449951171875,,100529.60332190209,31.06168945560294,-1.1740801953781088,Profit Hold,10,50
Hold,2023-06-09,3209.300048828125,,99686.28148655058,31.06168945560294,-0.8388791037512996,Loss Hold,10,50
Hold,2023-06-12,3246.89990234375,,100854.19646002908,31.06168945560294,1.1715904696837112,Profit Hold,10,50
Hold,2023-06-13,3243.699951171875,,100754.8005704552,31.06168945560294,-0.09855404441526329,Profit Hold,10,50
Hold,2023-06-14,3251.050048828125,,100983.107021322,31.06168945560294,0.22659610219479695,Profit Hold,10,50
Hold,2023-06-15,3216.300048828125,,99903.7133127398,31.06168945560294,-1.0688854209588685,Loss Hold,10,50
Hold,2023-06-16,3174.89990234375,,98617.75481922567,31.06168945560294,-1.2871978937244786,Loss Hold,10,50
Hold,2023-06-19,3210.39990234375,,99720.44479489957,31.06168945560294,1.1181454877929684,Loss Hold,10,50
Hold,2023-06-20,3227.699951171875,,100257.81353916555,31.06168945560294,0.5388751979307971,Profit Hold,10,50
Hold,2023-06-21,3258.199951171875,,101205.19506756145,31.06168945560294,0.9449453313938436,Profit Hold,10,50
Hold,2023-06-22,3238.5,,100593.28130197013,31.06168945560294,-0.604626832824963,Profit Hold,10,50
Hold,2023-06-23,3216.35009765625,,99905.26791389663,31.06168945560294,-0.6839556073413617,Loss Hold,10,50
Hold,2023-06-26,3189.64990234375,,99075.9147386958,31.06168945560294,-0.8301395837460729,Loss Hold,10,50
Hold,2023-06-27,3197.35009765625,,99315.09581424018,31.06168945560294,0.24141192758621904,Loss Hold,10,50
Hold,2023-06-28,3215.449951171875,,99877.30784333442,31.06168945560294,0.566089197704459,Loss Hold,10,50
Hold,2023-06-30,3302.25,,102573.46400476481,31.06168945560294,2.6994681971800123,Profit Hold,10,50
