Signal,Date,Close Price,Profit/Loss,Investment,Shares Bought,Percentage Change,Hold Status,Remaining Cash,Total Cash,SMA1,SMA2
Initial_Investment,2023-01-02,3261.449951171875,0.0,0.0,0,0.0,Initial_Investment,100000.0,100000.0,45,42
Hold,2023-01-03,3311.35009765625,0.0,0.0,0,1.529998841970435,No Hold,100000.0,100000.0,45,42
Hold,2023-01-04,3314.64990234375,0.0,0.0,0,0.09965133828149365,No Hold,100000.0,100000.0,45,42
Hold,2023-01-05,3311.10009765625,0.0,0.0,0,-0.10709440791891701,No Hold,100000.0,100000.0,45,42
Hold,2023-01-06,3211.550048828125,0.0,0.0,0,-3.0065550992732333,No Hold,100000.0,100000.0,45,42
Hold,2023-01-09,3319.949951171875,0.0,0.0,0,3.3753141223287013,No Hold,100000.0,100000.0,45,42
Hold,2023-01-10,3286.39990234375,0.0,0.0,0,-1.0105588735240576,No Hold,100000.0,100000.0,45,42
Hold,2023-01-11,3328.699951171875,0.0,0.0,0,1.2871242114496786,No Hold,100000.0,100000.0,45,42
Hold,2023-01-12,3334.35009765625,0.0,0.0,0,0.16974033608483863,No Hold,100000.0,100000.0,45,42
Hold,2023-01-13,3374.550048828125,0.0,0.0,0,1.2056307824463894,No Hold,100000.0,100000.0,45,42
Hold,2023-01-16,3334.050048828125,0.0,0.0,0,-1.2001600039704368,No Hold,100000.0,100000.0,45,42
Hold,2023-01-17,3378.39990234375,0.0,0.0,0,1.33020959092121,No Hold,100000.0,100000.0,45,42
Hold,2023-01-18,3390.0,0.0,0.0,0,0.34336070304177085,No Hold,100000.0,100000.0,45,42
Hold,2023-01-19,3373.10009765625,0.0,0.0,0,-0.49852219303097345,No Hold,100000.0,100000.0,45,42
Hold,2023-01-20,3363.10009765625,0.0,0.0,0,-0.29646318551140405,No Hold,100000.0,100000.0,45,42
Hold,2023-01-23,3414.89990234375,0.0,0.0,0,1.5402397544931645,No Hold,100000.0,100000.0,45,42
Hold,2023-01-24,3436.300048828125,0.0,0.0,0,0.626669802815814,No Hold,100000.0,100000.0,45,42
Hold,2023-01-25,3429.75,0.0,0.0,0,-0.19061341370229737,No Hold,100000.0,100000.0,45,42
Hold,2023-01-27,3411.050048828125,0.0,0.0,0,-0.5452278204497413,No Hold,100000.0,100000.0,45,42
Hold,2023-01-30,3433.64990234375,0.0,0.0,0,0.6625482825556676,No Hold,100000.0,100000.0,45,42
Hold,2023-01-31,3358.699951171875,0.0,0.0,0,-2.1828070217850533,No Hold,100000.0,100000.0,45,42
Hold,2023-02-01,3408.35009765625,0.0,0.0,0,1.4782548964235909,No Hold,100000.0,100000.0,45,42
Hold,2023-02-02,3460.39990234375,0.0,0.0,0,1.5271261224981558,No Hold,100000.0,100000.0,45,42
Hold,2023-02-03,3482.300048828125,0.0,0.0,0,0.6328790631840527,No Hold,100000.0,100000.0,45,42
Hold,2023-02-06,3459.949951171875,0.0,0.0,0,-0.6418199851495086,No Hold,100000.0,100000.0,45,42
Hold,2023-02-07,3472.550048828125,0.0,0.0,0,0.3641699398565688,No Hold,100000.0,100000.0,45,42
Hold,2023-02-08,3520.10009765625,0.0,0.0,0,1.3693121239295492,No Hold,100000.0,100000.0,45,42
Hold,2023-02-09,3540.85009765625,0.0,0.0,0,0.5894718736497223,No Hold,100000.0,100000.0,45,42
Hold,2023-02-10,3537.550048828125,0.0,0.0,0,-0.09319933736560493,No Hold,100000.0,100000.0,45,42
Hold,2023-02-13,3482.39990234375,0.0,0.0,0,-1.5589926848566975,No Hold,100000.0,100000.0,45,42
Hold,2023-02-14,3500.10009765625,0.0,0.0,0,0.5082757813250364,No Hold,100000.0,100000.0,45,42
Hold,2023-02-15,3520.64990234375,0.0,0.0,0,0.5871204855329891,No Hold,100000.0,100000.0,45,42
Hold,2023-02-16,3558.050048828125,0.0,0.0,0,1.0623080261254365,No Hold,100000.0,100000.0,45,42
Hold,2023-02-17,3501.14990234375,0.0,0.0,0,-1.5991946629057556,No Hold,100000.0,100000.0,45,42
Hold,2023-02-20,3487.300048828125,0.0,0.0,0,-0.3955801351536988,No Hold,100000.0,100000.0,45,42
Hold,2023-02-21,3451.0,0.0,0.0,0,-1.04092129498072,No Hold,100000.0,100000.0,45,42
Hold,2023-02-22,3401.550048828125,0.0,0.0,0,-1.4329165798862649,No Hold,100000.0,100000.0,45,42
Hold,2023-02-23,3413.800048828125,0.0,0.0,0,0.36012993559275347,No Hold,100000.0,100000.0,45,42
Hold,2023-02-24,3400.449951171875,0.0,0.0,0,-0.3910626710791913,No Hold,100000.0,100000.0,45,42
Hold,2023-02-27,3331.85009765625,0.0,0.0,0,-2.0173757738144,No Hold,100000.0,100000.0,45,42
